UserId,Products
100,"[11139192,11460972,11141346,11148888]"
10001,"[11360778,11147512,11658992,11461004]"
1001,"[11139192,11360928,11148888,11141346]"
1002,"[11139192,11461012,11659554,11659544]"
10027,"[11139192,11360870,11659106,11460978]"
10035,"[11139192,11714576,11141346,11147268]"
10048,"[11139192,11149198,11481076,11659432]"
10080,"[11603792,11659590,11148888,11141330]"
10081,"[11659862,11360738,11659542,11591770]"
10084,"[11659958,11714588,11407262,11141308]"
10088,"[11407194,11245914,11141346,11147292]"
10091,"[11351668,11245914,11141324,11351668]"
10092,"[12407814,11360928,11460928,12407730]"
10104,"[12407776,11141306,11360964,11141320]"
10105,"[11659024,11141346,11237196,11659740]"
10122,"[11360722,11360738,11407098,11659250]"
10125,"[11139192,11659026,11141346,11659452]"
10131,"[11139192,11245914,11360878,11237116]"
10136,"[11660126,11245914,12407156,11659210]"
10154,"[11139192,11407392,11139524,11603770]"
10161,"[11659186,11335962,11360828,11659206]"
1017,"[11145740,11335964,11148888,11460738]"
10195,"[12407016,11460854,11659178,12360438]"
10199,"[11361056,11141346,11361056,11659646]"
102,"[11361056,11237172,11460990,11659126]"
10217,"[12657356,12657356,11659824,11245914]"
1023,"[11659806,11360760,11460968,11460964]"
10238,"[11407264,12360436,12406874,11360912]"
10239,"[11407262,11407138,12436456,11659416]"
10247,"[11659716,11360912,11407476,11659716]"
10256,"[11407152,11659686,11148888,11659034]"
10261,"[11460910,11460972,11659178,11659646]"
10283,"[11659240,12658130,12360386,12995872]"
10299,"[12657878,12310302,11245914,12658004]"
10300,"[11481072,12371306,11659734,11659066]"
10304,"[11460780,11141346,11148888,11141330]"
1031,"[11659666,11660190,12407006,11481078]"
10312,"[11481092,11659688,11460738,11360912]"
1032,"[11658984,11460968,11141338,11141330]"
10327,"[11659026,11659030,11147268,11407098]"
10337,"[11407172,11245914,11360878,11148888]"
10342,"[11407212,11360760,11141324,11360878]"
10343,"[11659000,11659000,11659000,11360928]"
10344,"[11360872,11139524,11360934,11660046]"
10355,"[11360872,11659142,11141346,11360878]"
10364,"[11139192,11360912,11460990,11335962]"
10372,"[12657396,11407194,12371306,11148888]"
10387,"[11407194,11148888,11659216,11145664]"
10397,"[11659858,11361054,11460968,11659166]"
10399,"[11461012,11141346,11407172,11603772]"
10406,"[12407818,11360738,11460990,11659166]"
10424,"[12407702,12360428,11460696,11237172]"
10429,"[12657538,12657356,11148982,11460854]"
10436,"[11659422,11659422,11360882,11360728]"
10440,"[11139192,11460738,11659538,12658234]"
10446,"[11360760,11659578,11659824,11237196]"
10455,"[11139192,11141346,11141346,11360994]"
1046,"[11659538,11360778,11659538,11141346]"
10474,"[11659878,11148888,11460738,12407008]"
1048,"[11139192,12407042,11659548,11659856]"
10490,"[11139192,11460780,11361044,11659112]"
10496,"[11139192,11360738,11141330,11360942]"
10505,"[11659450,11335966,12407014,11659566]"
10507,"[11659002,11714428,11141308,11360928]"
10522,"[11360780,11659244,11237222,11659046]"
10536,"[11659206,11659206,11145702,11659216]"
10537,"[11659340,11148888,11407222,11145626]"
10538,"[11660000,11659006,11659902,11659686]"
10541,"[11139192,11407382,11360884,11659000]"
10555,"[11461040,11139560,11659936,11407436]"
10565,"[12658202,11659000,11407476,11659208]"
10569,"[11659570,11460968,11659544,11407170]"
10573,"[12657692,11148888,12407016,11659178]"
10577,"[12995872,12360386,11659292,12360428]"
10593,"[12360440,12407356,11520046,13039484]"
10599,"[11139192,11659298,11659534,11245914]"
10612,"[11360956,11139560,11145624,11360912]"
10619,"[12322660,11141324,11360716,12407678]"
1062,"[11659088,11407262,11659686,11360912]"
1064,"[11660006,11351668,11360738,11360912]"
1066,"[12406870,11660080,12657356,11335962]"
10685,"[11659178,11245914,12360424,11460972]"
10692,"[11659000,11148888,11237172,11659590]"
1072,"[11139192,11141342,11360780,12657338]"
10751,"[11139192,11407170,11148888,11461040]"
10752,"[11139192,11147512,11141346,11460676]"
10768,"[11659026,11659026,11360912,11407162]"
10782,"[11360846,11360848,12371322,11148954]"
10795,"[11659242,11148888,11141330,11659292]"
108,"[11660122,11660080,11360680,11659120]"
10802,"[11603772,11148888,11659088,12407512]"
10806,"[11360858,12657334,11659208,11460780]"
1081,"[11659820,11658992,11659068,11145624]"
1082,"[11407178,11407272,11145600,11360928]"
10823,"[11141324,11407224,11141324,11141324]"
10826,"[12399312,11407224,11148888,11237172]"
10829,"[11659220,11360640,11407224,11148888]"
10839,"[11407170,11407170,11460972,11237196]"
10840,"[11407262,11360780,12658252,11141346]"
10859,"[11460792,11148888,11460972,11335962]"
10860,"[11659436,11148888,11360854,12310302]"
1088,"[12407616,11659570,11141340,11460766]"
10882,"[11148440,11245914,11237172,11360760]"
10884,"[11659146,11659060,11360912,11147292]"
10890,"[11145664,11145664,11407280,12407400]"
10895,"[11659824,11659092,12657356,11659020]"
10906,"[11659232,11659052,12371376,11360884]"
10919,"[11659534,11407382,12371308,11520046]"
10934,"[11361044,11245914,11141330,11360884]"
10942,"[11461008,11659020,11360912,11361054]"
10969,"[11659314,11659092,11460696,12407356]"
10980,"[11659618,11407382,12657766,11659538]"
10987,"[11145748,11659144,12406894,11659538]"
10988,"[11407400,11659548,11360912,11659646]"
10992,"[11461014,11148982,11460972,11659138]"
110,"[11141328,11659102,11141324,12407450]"
1104,"[11139192,11460968,11460972,11360780]"
11043,"[11139192,11407134,11360854,11141346]"
11052,"[11139192,11148888,11659004,11237172]"
11056,"[12406966,11237172,11360738,11659640]"
11067,"[11360878,11148888,11659118,11360878]"
11090,"[11659490,11245914,11460806,11237172]"
11105,"[11659688,11360760,12322658,11659580]"
11111,"[11360872,11360912,11360760,11360912]"
11121,"[12322660,11407392,11460914,12371246]"
11131,"[11714318,11659332,11658982,11659570]"
1117,"[12360438,11659616,11148888,11659362]"
11196,"[12360450,11659538,11481078,11361054]"
11204,"[12322654,11360928,11659020,11407194]"
11220,"[12406870,13017344,11141346,11714428]"
1124,"[11659538,11141346,11460972,11360760]"
11256,"[11407274,11407274,11659934,11407382]"
11262,"[11237196,11148888,12657648,11407194]"
11269,"[12360434,11659616,11407102,11360738]"
11273,"[11139192,11360708,11360966,11141330]"
11277,"[11139192,11335962,11460978,11460968]"
11281,"[12360430,11360778,11141324,11659180]"
11294,"[11139192,11335966,11147252,11145624]"
11306,"[11659336,11659104,11237174,11148888]"
11334,"[11360692,11659734,11245914,11360692]"
11337,"[11659018,11460738,11245914,11237172]"
1134,"[11361056,11659552,11659218,11361058]"
11342,"[11659840,11659554,13039530,11659538]"
11349,"[11139192,11659000,11148888,11335962]"
11359,"[11139192,11407264,11659918,12322648]"
11361,"[11139524,11145640,11360642,11659102]"
1137,"[11659004,11360738,11360894,11360642]"
11377,"[11360956,11148888,11245914,11141306]"
11402,"[11407236,11460990,11603796,11460792]"
11425,"[11659936,11407114,11659936,11660198]"
11446,"[11481094,11481094,11141306,11245914]"
1145,"[11139192,11148440,11360886,11407382]"
11450,"[11361056,11335962,11141346,11360738]"
11452,"[11361056,12657732,11141320,11141308]"
11463,"[11147290,11360884,11360854,11360868]"
11466,"[11139192,11659972,11360860,11360880]"
11480,"[11714534,11139194,11659854,11658954]"
11490,"[11139192,11245914,11659734,11659808]"
11509,"[11139192,11360640,11141324,11407114]"
11523,"[11139192,11147252,11461012,11148888]"
11528,"[11148954,11360848,11360846,11481072]"
1154,"[11149062,11145624,11659048,11407172]"
11552,"[11360860,11148888,11141346,11335962]"
11559,"[11460676,11460738,11141346,11245914]"
11566,"[11407194,11148888,11245914,11659000]"
11591,"[11147290,11407272,11659024,11658996]"
11607,"[12407014,11335966,11481024,11659450]"
11608,"[12407398,11460854,11360886,12407304]"
11619,"[12322660,11460968,12406976,13038854]"
11635,"[12406888,11659878,11360738,11407194]"
11639,"[11460902,11360912,11360912,11141346]"
11653,"[12360436,11237196,11141324,11659686]"
11660,"[11139192,11245914,11591770,11141330]"
11661,"[11407152,11141306,11148440,11659538]"
1167,"[11659548,11360868,11141330,11360728]"
11671,"[11147268,12407308,11660006,11659998]"
