Product,Products
11139192,"[12658520,11659366,13038884,12657640,12407248,12657642,11714484,12657550]"
11139194,"[12657630,14122744,13017332,13017336,11407364,12657638,13064964,11659280]"
11139524,"[11139650,11145614,11147546,11147548,12437090,11145602,11144136,11145642]"
11139560,"[12658504,11659562,11659208,12657378,11714570,12658246,12360396,12658614]"
11139588,"[11659362,12657606,11660048,11148440,11141320,12988620,11603772,11407112]"
11139650,"[11139524,11145614,11147548,11147546,11659962,12437090,11145602,11145642]"
11141306,"[11141308,11603770,11141354,12995876,12407474,12995874,12988602,12988620]"
11141308,"[11141354,11141306,11603770,11659418,11407392,12407432,12988620,11407372]"
11141318,"[11141340,11659280,11141326,11141320,12407474,12407002,11139194,12657638]"
11141320,"[12988606,12657606,12988614,13202654,12988620,11237230,11237148,12658520]"
11141324,"[13039492,12995886,12988622,12995880,12988618,12988626,12988606,13038906]"
11141326,"[11141340,11141354,12407380,11659256,12407926,11141318,11141308,12407272]"
11141328,"[12995878,12371308,13038920,13039492,11652758,12988608,12988604,12995880]"
11141330,"[13202650,11146084,12658520,13202654,12657642,13067868,11146082,12988614]"
11141338,"[11460864,12407382,11147534,12657372,13038886,12657616,12436456,12437326]"
11141340,"[11141326,11141318,11659280,12407380,11659090,12657532,11141354,13064964]"
11141342,"[13039380,12988626,12988610,12407826,11145726,12406940,12407708,13039468]"
11141346,"[13038884,12657640,13038882,12657618,11714594,12988630,12657646,12407248]"
11141354,"[11141308,11141326,12407432,11141306,12371286,11659418,11659364,12406978]"
11141530,"[11145740,11148902,11658982,11659374,12406860,12657448,12437160,11141330]"
11141538,"[12657686,11714696,11660170,13038930,13038822,12658338,12658012,12658692]"
11141644,"[12995890,13038152,13039514,11460908,11659986,11407478,13039782,13039792]"
11144136,"[11147546,11145602,12658090,11139524,11658980,11145600,12657718,11148860]"
11144260,"[11148922,11147324,14122762,11145602,12436458,11150046,11147546,11659956]"
11145600,"[11148920,11147546,11147548,11145684,11145762,11147268,14122766,11144136]"
11145602,"[11147546,11145642,11145666,11145614,12658184,11148922,11145612,11145664]"
11145612,"[12658536,11145666,11145642,11145602,11145614,11147292,11148964,12657594]"
11145614,"[11145602,11145642,11139650,11147548,11147546,12658536,11659962,12658184]"
11145620,"[11147548,11148920,11147546,11145602,11659216,11147280,11148922,11145762]"
11145624,"[11481088,13038888,11407216,12407878,11481050,12407868,11461012,12407852]"
11145626,"[11659822,11147324,11148902,12658388,12658698,11147250,13038922,12437284]"
11145634,"[11148966,11360668,12407184,12657684,13038932,12657426,12657538,12658032]"
11145640,"[11145642,11145612,13039484,11147290,11460988,12406998,13038950,11145614]"
11145642,"[13773580,11145602,11145666,11145614,11659962,11145612,11148964,11145640]"
11145654,"[11659342,11147282,11603832,11147300,11147546,11660008,11659332,12658204]"
11145664,"[11147300,11145602,11147292,11145666,11147280,11145702,12657364,11145642]"
11145666,"[11145602,11145642,12658536,12658184,11714304,11145612,11147292,14122750]"
11145684,"[11659282,11145600,11148920,11407218,12407854,11360912,12454404,12436542]"
11145702,"[11147300,11147282,12407550,11145664,12657804,12657364,11147280,11147292]"
11145726,"[11147258,11147324,11150046,11147250,11147622,11145642,13773580,11659020]"
11145728,"[11147280,11147300,11147282,11145702,11145664,11148954,11147546,12407550]"
11145740,"[11141530,12437160,11360994,11148984,11659524,11145744,12436648,11658978]"
11145744,"[12406914,11145762,11659302,13039094,11659852,13039084,11659524,13039890]"
11145748,"[12437378,11139650,11144260,11145614,11659326,11659190,12437292,12436458]"
11145762,"[11148984,11147268,11145600,11147290,11145602,11147546,11148920,12657738]"
11146082,"[11149026,11149062,11147534,11141330,11147268,13067868,11146084,11360874]"
11146084,"[11141330,11658982,11148902,11146082,13067868,11360942,13039898,11149036]"
11146384,"[11149062,11149026,11146754,11148514,11148516,11603804,11360874,11146082]"
11146754,"[11149026,11149062,11146384,13038922,11145664,11603804,11149036,11659822]"
11147250,"[11145726,11147258,11150046,11147324,11147622,11145642,11145640,11407122]"
11147252,"[11147268,11147258,12436458,11147280,12407918,12437292,11147546,11659192]"
11147258,"[11147268,11147622,11145726,11150046,11147250,11145602,11147546,11148922]"
11147268,"[11147258,11148920,11145762,11145602,11145600,11148922,11150046,11147546]"
11147280,"[11148954,11145664,11145728,11147300,11145702,11147282,11147546,11145602]"
11147282,"[11145702,11147300,12407550,12657804,11147280,11145654,11145664,11145728]"
11147290,"[11145640,11659148,12658536,14122750,11145612,12437034,11145666,11145602]"
11147292,"[12658556,11659948,12658504,11659962,13017344,12658514,12407286,12658546]"
11147300,"[11145702,11145664,11147282,12657364,12407550,11147292,12657804,11660092]"
11147312,"[11145666,14121842,11714304,12658186,12657596,14122750,11145664,11147292]"
11147324,"[11145726,11150046,11147250,11144260,11145642,11147258,11147546,11145626]"
11147512,"[12407636,14122832,12658358,11659840,11659590,12437318,12437264,11360770]"
11147534,"[11148516,11146082,11149062,11149026,11148514,12657644,11407168,12360444]"
11147546,"[11147548,11145602,11145614,11659956,11148920,12658184,11659674,11659948]"
11147548,"[11147546,11145614,11139650,11145602,11659956,11148922,11139524,11145600]"
11147600,"[12407760,11659670,11659704,11658994,13038826,12658148,12406860,11659520]"
11147622,"[11147258,11145726,11147250,11150046,11145614,11145642,11148964,12658592]"
11148212,"[11146082,11460802,12407398,11149026,11360874,11659192,11146084,11659720]"
11148440,"[11148482,11146754,12406944,12974422,12657606,12406874,11407112,12407532]"
11148482,"[11149026,11148440,11149062,11149198,11460752,12657606,11460612,11146082]"
11148514,"[11148516,11146384,11147534,11149026,11149062,11146082,11148482,11149198]"
11148516,"[11147534,11148514,11146384,12407146,11149026,11149062,13039630,11149198]"
11148792,"[12437484,12407718,11480976,13039064,11659698,12407720,12406948,13039476]"
11148854,"[14121842,12437186,11145612,11659958,13039542,11659960,12437234,11658992]"
11148860,"[12658598,11147292,11659696,11659952,12658264,11659702,12657698,12658528]"
11148888,"[12310312,13039050,11659652,11714574,11659610,12658150,12371342,14121826]"
11148902,"[11147282,11147300,11145626,12657374,12407550,12657654,13038890,12657804]"
11148920,"[11145600,11659674,11147546,11148922,11659618,11147268,11659712,11145602]"
11148922,"[11145602,12658348,11148920,11659956,11147546,11147548,12657478,11144260]"
11148954,"[11147280,11145664,11147300,11147282,11145702,12407550,11145728,13038922]"
11148964,"[11145642,13773580,11147292,11145612,11145602,11659020,11659432,11145666]"
11148966,"[11145634,12407184,11360668,13038940,13038934,12657684,13039462,13038930]"
11148980,"[11714446,12658688,11660176,13038926,13039440,11360848,12657440,11660168]"
11148982,"[12657402,11360668,13038940,11660170,11245900,11660044,13038930,12407170]"
11148984,"[11145762,14121842,11147312,13038850,11659822,12658204,11659670,11714304]"
11149026,"[11149062,11146082,11146754,11146384,11147534,11460612,11148482,12407550]"
11149036,"[11146754,11603804,13039380,11146084,11141330,11145626,12988610,12988618]"
11149062,"[11149026,11146384,11146082,11147534,11146754,12407550,11149198,11148482]"
11149198,"[12407382,11149062,11148482,11481072,13039494,13038906,11149026,12657644]"
11149838,"[11149866,12658072,11659700,13039924,12406956,12407562,12657992,12658592]"
11149842,"[13653684,11660042,11714456,11714472,11460810,12407346,11659596,11407222]"
11149866,"[11149838,12658072,12658600,11147622,13039924,12407472,12658124,12658122]"
11149918,"[12406880,12407630,13039506,11659212,12407014,13039664,12658518,12407102]"
11149934,"[13773580,11659148,13773576,11145642,12658054,12657972,11147292,12436450]"
11149960,"[12658042,11660166,12658126,11660044,11660176,11714446,12658578,12658582]"
11149964,"[11660080,11659212,12657384,11660128,11460716,12371930,11659452,12657794]"
11149974,"[11714458,11150046,12947664,11660230,11144260,12437302,13081772,12657680]"
11150046,"[11145726,11147258,11147324,11147250,11149974,11145642,11147622,11147268]"
11150078,"[13653542,12407472,12658096,11407206,12407370,13039918,11660068,13039752]"
11150088,"[13650192,11150046,13650136,11659804,14104334,13653684,11659224,11147250]"
11150096,"[12406976,11660144,12658056,11360656,13038900,12995894,12371302,13039368]"
11150104,"[13039070,13039456,12657340,11460772,11407122,12407290,11659466,12406970]"
11150120,"[13039446,12530766,12371320,11245946,13038820,11659710,12658464,12407620]"
11150146,"[11714474,11659090,13038876,11659088,11659362,12988620,13038964,11659138]"
11237072,"[12437002,11659326,12407918,11658984,11714492,11659334,12657360,11659984]"
11237090,"[12407536,12406918,13038938,11460742,12657402,12407484,13038932,12657400]"
11237116,"[11603796,11245920,13039812,13653546,11603792,11659568,12407068,11714532]"
11237132,"[12995880,12988608,11659254,12988616,12988604,13039492,12407382,11660050]"
11237144,"[13653516,13653656,12658038,13653568,12657526,11660024,12437220,11660030]"
11237148,"[12988614,11660048,11141320,11660228,11237132,12658520,12988616,13039380]"
11237156,"[12658048,11659614,13039692,12995882,11660164,13017340,12437262,13039792]"
11237164,"[11714544,12658608,12658384,12658282,12657950,12658374,11658996,13038160]"
11237172,"[11659562,11659798,12657866,11660062,11659004,12657584,11659964,11714570]"
11237174,"[12371296,12407514,11360778,11237164,11660028,12407386,13039816,11361054]"
11237192,"[11659830,11659712,11659216,12437418,11659334,12437348,12658288,12658334]"
11237194,"[12407414,11360716,12657744,11360778,13038982,12371370,13039742,11360966]"
11237196,"[13039488,13039760,11407262,11360976,12407414,14121824,11407422,12658248]"
11237206,"[11360934,14121836,14121842,11461012,11145762,12437034,14122750,12407538]"
11237222,"[11237224,12407424,11145640,12437468,12658580,12437168,13039044,12658308]"
11237224,"[11237222,13038956,11237250,12437468,13038944,12657714,12658440,13038968]"
11237230,"[12995878,13038920,11141320,12657606,11659362,13038876,11603772,11603770]"
11237250,"[13039892,11480992,13038960,11237224,13038968,12657714,13038946,13039088]"
11237260,"[12437158,12437058,13038994,12436456,12436542,13017340,12437354,13039498]"
11245900,"[12658024,12658070,12437188,11659838,12407652,13038150,12407696,12437148]"
11245912,"[11481076,11360928,11461006,11360934,14121836,11407236,12407228,12407030]"
11245914,"[13039528,13039526,13039704,12658456,13039532,11658950,12988624,13039356]"
11245920,"[11603796,11659568,11237116,11659596,11603792,11659558,13039812,12657894]"
11245932,"[11407182,11407216,11481088,11461012,11481050,11360694,11481070,12437348]"
11245944,"[11659936,12371280,12657400,12407908,11461108,12658032,12657974,13038998]"
11245946,"[12407142,11660168,11461106,12657886,11714446,12657980,13039440,11659404]"
11245948,"[12657402,12657450,11237090,11660044,11714676,11659406,11659338,11659402]"
11245962,"[13650192,14104334,11150088,12657978,11714700,11660210,13650136,11660102]"
11335962,"[13039744,11407154,11360974,11480992,11145654,11360942,12407498,13039092]"
11335964,"[11360924,13064998,11481008,11360780,11407404,11460780,11520046,13038966]"
11335966,"[12658356,11659036,12322668,12406998,13039064,11407344,14122762,11481030]"
11351668,"[13017338,12988630,12988632,12407248,11460738,13202662,12658212,13038684]"
11358628,"[13039080,11460806,11659960,11659996,12657558,12657698,11407162,12658474]"
11360640,"[11660212,11360654,13653674,11660084,13653578,13653630,13653556,13038720]"
11360642,"[11481104,11407254,11714696,11660068,11460698,11714694,11660142,11660134]"
11360644,"[12658072,13653522,13653624,13653512,13653620,11660134,13653520,13653654]"
11360648,"[13653662,11360640,11407290,11360652,13653630,13653642,11407256,11360672]"
11360652,"[11660194,13653542,13653626,11660246,11407254,13653552,11660188,11407248]"
11360654,"[13653682,13653664,11407340,11460708,13653646,13653666,13653674,11660212]"
11360656,"[12658056,12407558,12406976,12371302,11150096,12657372,12371318,12371320]"
11360658,"[11660128,11660144,12696928,13039368,12407558,12658056,13039464,12658020]"
11360660,"[11460702,12407818,11360696,13653632,13653590,12407284,11660212,11460670]"
11360662,"[11407340,13653646,11407298,11360654,11407350,11460730,11360672,11407248]"
11360666,"[13653556,13653672,11360654,13653696,13653646,13653664,12658084,13653688]"
11360668,"[11360688,12407184,12658126,11148966,11145634,11714676,11407158,11660170]"
11360670,"[13653624,13653536,13653626,11660218,13653620,12658120,13039714,13653602]"
11360672,"[11360674,11460730,11407248,13653514,11360662,11407340,11660246,11407246]"
11360674,"[11360672,13653564,11460730,13653660,13653618,12658084,11360662,11460708]"
11360680,"[11660110,11660146,11660112,11660068,11660236,12658100,11460708,13653556]"
11360684,"[13653550,12657784,12657872,12657908,13039750,13039682,12407590,13039748]"
11360688,"[11360668,11407158,12407304,12657426,12407184,12407906,12658126,13038932]"
11360692,"[11360694,13653604,11360698,11360696,11660054,11660104,13653632,11660100]"
11360694,"[11360696,11360692,11660104,11407298,13653632,11660100,13653646,12407878]"
11360696,"[11360694,11360692,13653632,11660104,11407298,11660100,13653604,13653658]"
11360698,"[11360692,13653604,11360640,11360694,12407208,11360696,13653630,13653632]"
11360704,"[12406946,11659222,12437194,11659776,11460772,11407350,12658100,12437054]"
11360708,"[11460916,11360966,12407796,11360778,11360998,11659830,11407434,12371254]"
11360710,"[12658484,12099206,12407788,11407280,12407620,11520042,11460984,11360776]"
11360716,"[13039742,11481000,11360798,13039664,11237194,12407414,11360800,11361000]"
11360718,"[12407770,12407792,11659248,11460952,12407546,12407826,11460676,11407268]"
11360722,"[11407264,11407272,11460926,12658240,13039538,12658350,11360800,13039536]"
11360724,"[11461024,11360990,12436780,11407274,13038942,11659200,12657512,13039490]"
11360728,"[13039586,12407872,11461004,11361062,11360810,11407404,11407154,12407880]"
11360730,"[12360448,11360964,11480974,13039618,13039148,11603822,13039902,11460780]"
11360738,"[12407566,12657692,13064966,12406932,13039450,11659218,13039814,13653670]"
11360740,"[12658580,12407636,12658220,13039826,12407632,11659234,11659934,12407760]"
11360756,"[11407344,12360408,11659200,12407414,11360800,11461036,12407344,11407262]"
11360758,"[11659650,11460984,11360998,11360776,11460900,12658292,11407434,11520042]"
11360760,"[11360728,12658490,11360976,12437200,12407880,11460954,11360740,12437212]"
11360764,"[11659582,12988642,12407834,12407404,12657976,11360854,11659840,11361060]"
11360768,"[11360990,12658270,12360452,12657540,12407764,11360882,11407216,11659252]"
11360770,"[11147512,11139650,12658408,11407120,11139524,12658340,11659840,12436574]"
11360776,"[11460984,11407434,11659252,11360998,11659710,11460914,12658414,11360710]"
11360778,"[11659830,12657744,11360708,11360998,13039098,12407386,12407394,11460916]"
11360780,"[11460682,12437474,11460780,11481008,11360964,11659306,12454400,11520046]"
11360782,"[11147300,12407946,12658682,12658388,11360874,13039018,12436586,11659822]"
11360784,"[11407242,12437308,11659840,12436786,12437336,11460910,12658634,12437380]"
